Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-556716,ZnS,P3m1,-1.144,0,1.213,566.73,28,3.998
mp-556161,ZnS,P3m1,-1.143,0,1.441,566.547,28,4
mp-10695,ZnS,F43m,-1.143,0,2.35,40.476,2,3.999
mp-680085,ZnS,P3m1,-1.143,0,2.017,1780.658,88,4
mp-680087,ZnS,P3m1,-1.143,0.001,2.021,1781.108,88,3.999
mp-555079,ZnS,P3m1,-1.143,0.001,2.02,1133.274,56,3.999
mp-554820,ZnS,P3m1,-1.143,0.001,2.021,1133.126,56,4
mp-556543,ZnS,P3m1,-1.143,0.001,1.962,890.408,44,3.999
mp-555664,ZnS,P3m1,-1.143,0.001,2.021,971.853,48,3.997
mp-556784,ZnS,P3m1,-1.143,0.001,1.995,890.448,44,3.999
mp-554115,ZnS,P3m1,-1.143,0.001,2.018,971.912,48,3.997
mp-581425,ZnS,P3m1,-1.143,0.001,2.019,1456.577,72,4
mp-561286,ZnS,P63mc,-1.143,0.001,2.014,809.963,40,3.997
mp-556448,ZnS,P3m1,-1.143,0.001,2,729.126,36,3.996
mp-560725,ZnS,P63mc,-1.143,0.001,2.02,648.147,32,3.996
mp-555779,ZnS,P3m1,-1.143,0.001,2.005,648.23,32,3.995
mp-557308,ZnS,P3m1,-1.143,0.001,1.907,405.165,20,3.995
mp-581405,ZnS,P3m1,-1.143,0.001,1.889,1619.013,80,3.999
mp-554503,ZnS,P3m1,-1.143,0.001,2.02,1133.408,56,3.999
mp-555151,ZnS,P3m1,-1.143,0.001,2.024,1133.417,56,3.999
mp-554961,ZnS,P3m1,-1.143,0.001,1.965,1133.402,56,3.999
mp-554681,ZnS,P3m1,-1.143,0.001,2.018,1133.328,56,3.999
mp-554608,ZnS,P3m1,-1.143,0.001,1.934,1050.939,52,4.004
mp-561196,ZnS,P63mc,-1.143,0.001,2.027,566.491,28,4
mp-555543,ZnS,P3m1,-1.143,0.001,1.992,971.869,48,3.997
mp-582680,ZnS,P3m1,-1.143,0.001,1.985,1456.11,72,4.002
mp-555381,ZnS,P3m1,-1.143,0.001,1.932,971.534,48,3.998
mp-554829,ZnS,P3m1,-1.143,0.001,2.007,971.909,48,3.997
mp-553916,ZnS,P3m1,-1.143,0.001,2.026,971.806,48,3.997
mp-556395,ZnS,P3m1,-1.143,0.001,1.956,324.105,16,3.995
mp-555594,ZnS,P3m1,-1.143,0.001,2.001,970.405,48,4.003
mp-647075,ZnS,P3m1,-1.143,0.001,2,2593.358,128,3.994
mp-555666,ZnS,P3m1,-1.143,0.001,1.858,1293.941,64,4.003
mp-556000,ZnS,P3m1,-1.143,0.001,2.017,890.452,44,3.999
mp-561258,ZnS,P63mc,-1.143,0.001,1.996,405.046,20,3.996
mp-555782,ZnS,P3m1,-1.143,0.001,1.999,810.103,40,3.996
mp-556155,ZnS,P3m1,-1.143,0.001,2.007,810.105,40,3.996
mp-556732,ZnS,P3m1,-1.143,0.001,2.018,810.097,40,3.996
mp-556280,ZnS,P3m1,-1.143,0.001,2.016,810.098,40,3.996
mp-555311,ZnS,P3m1,-1.143,0.001,2.032,1053.577,52,3.994
mp-554253,ZnS,P3m1,-1.143,0.001,1.987,1052.541,52,3.998
mp-553880,ZnS,P3m1,-1.143,0.001,2.031,1052.191,52,4
mp-554986,ZnS,P3m1,-1.143,0.001,2.03,1376.74,68,3.997
mp-555773,ZnS,P3m1,-1.142,0.001,2.023,729.223,36,3.995
mp-557175,ZnS,P3m1,-1.142,0.001,2.028,729.227,36,3.995
mp-557346,ZnS,P3m1,-1.142,0.001,2.027,729.174,36,3.996
mp-556152,ZnS,P3m1,-1.142,0.001,2.025,729.201,36,3.995
mp-556363,ZnS,P3m1,-1.142,0.001,2.029,729.199,36,3.995
mp-557026,ZnS,P3m1,-1.142,0.001,2.011,729.227,36,3.995
mp-556950,ZnS,P3m1,-1.142,0.001,2.03,647.72,32,3.998
mp-554630,ZnS,P3m1,-1.142,0.001,1.994,971.66,48,3.998
mp-555583,ZnS,P3m1,-1.142,0.001,2.004,971.447,48,3.999
mp-554999,ZnS,P3m1,-1.142,0.001,2.01,971.985,48,3.997
mp-557054,ZnS,P3m1,-1.142,0.001,1.689,566.716,28,3.999
mp-556392,ZnS,P3m1,-1.142,0.001,2.037,566.566,28,4
mp-561118,ZnS,P63mc,-1.142,0.001,2.032,323.923,16,3.997
mp-557009,ZnS,P3m1,-1.142,0.001,2.031,810.293,40,3.995
mp-557062,ZnS,P3m1,-1.142,0.001,2.024,810.293,40,3.995
mp-556207,ZnS,P3m1,-1.142,0.001,2.024,810.267,40,3.995
mp-557418,ZnS,P3m1,-1.142,0.001,2.009,810.262,40,3.995
mp-554713,ZnS,P3m1,-1.142,0.001,1.989,971.694,48,3.998
mp-555628,ZnS,P3m1,-1.142,0.001,2.016,971.768,48,3.997
mp-554889,ZnS,P3m1,-1.142,0.001,2.035,970.205,48,4.004
mp-556989,ZnS,P3m1,-1.142,0.001,2.004,729.223,36,3.995
mp-554004,ZnS,P3m1,-1.142,0.001,2.015,1134.065,56,3.996
mp-556775,ZnS,P3m1,-1.142,0.001,2.04,647.687,32,3.998
mp-556815,ZnS,P3m1,-1.142,0.002,2.042,566.708,28,3.999
mp-9946,ZnS,P63mc,-1.142,0.002,2.035,243.037,12,3.996
mp-556005,ZnS,P3m1,-1.142,0.002,2.039,324.075,16,3.996
mp-10281,ZnS,P63mc,-1.142,0.002,2.047,162.057,8,3.995
mp-560588,ZnS,P63mc,-1.14,0.003,2.078,81.022,4,3.995
mp-555410,ZnS,R3m,-1.139,0.004,2.064,161.44,8,4.01
mp-555763,ZnS,R3m,-1.139,0.005,2.061,121.471,6,3.997
mp-581601,ZnS,R3m,-1.132,0.011,2.026,486.995,24,3.988
mp-581476,ZnS,R3m,-1.132,0.011,2.024,487.232,24,3.986
mp-581412,ZnS,R3m,-1.132,0.011,2.026,486.895,24,3.989
mp-555858,ZnS,R3m,-1.132,0.012,2.005,407.052,20,3.976
mp-556105,ZnS,R3m,-1.132,0.012,2.038,405.313,20,3.993
mp-556468,ZnS,R3m,-1.132,0.012,2.015,323.746,16,4
mp-581602,ZnS,R3m,-1.132,0.012,2.038,486.981,24,3.988
mp-557151,ZnS,R3m,-1.132,0.012,2.032,323.743,16,4
mp-581258,ZnS,R3m,-1.132,0.012,2.038,486.973,24,3.989
mp-555280,ZnS,R3m,-1.131,0.012,2.065,243.287,12,3.992
mp-18377,ZnS,R3m,-1.131,0.012,2.032,405.951,20,3.987
mp-13456,ZnS,R3m,-1.131,0.012,2.098,202.53,10,3.996
mp-543011,ZnS,R3m,-1.131,0.013,2.072,284.341,14,3.985
mp-556576,ZnS,R3m,-1.13,0.013,2.064,323.994,16,3.997
mp-554405,ZnS,R3m,-1.13,0.014,2.13,202.502,10,3.996
mp-555214,ZnS,P3m1,-1.129,0.014,1.597,1049.961,52,4.008
mp-1196782,ZnS,R3m,-1.092,0.052,1.978,732.056,36,3.98
mp-1201781,ZnS,R3m,-1.092,0.052,1.979,732.087,36,3.98
mp-608468,ZnS,R3m,-1.092,0.052,1.981,491.129,24,3.955
mp-1200836,ZnS,R3m,-1.091,0.052,1.975,735.015,36,3.964
mp-1202959,ZnS,R3m,-1.091,0.052,1.981,734.987,36,3.964
mp-1198139,ZnS,R3m,-1.091,0.052,1.977,734.976,36,3.964
mp-1202182,ZnS,R3m,-1.091,0.052,1.982,734.924,36,3.964
mp-1202023,ZnS,R3m,-1.091,0.052,1.993,732.337,36,3.978
mp-1203761,ZnS,R3m,-1.091,0.052,0.007,732.305,36,3.978
mp-1199343,ZnS,R3m,-1.091,0.052,1.994,732.317,36,3.978
mp-1200568,ZnS,R3m,-1.091,0.052,1.986,735.746,36,3.96
mp-1201158,ZnS,R3m,-1.091,0.053,1.986,734.837,36,3.965
mp-557058,ZnS,P3m1,-0.936,0.208,0,494.027,24,3.932
mp-556485,ZnS,P3m1,-0.933,0.211,0,495.388,24,3.921
mp-1244980,ZnS,P1,-0.799,0.345,1.402,2425.07,100,3.337
mp-1245122,ZnS,P1,-0.744,0.4,1.274,2350.569,100,3.443
mp-1245194,ZnS,P1,-0.744,0.4,1.239,2527.033,100,3.203
mp-1245300,ZnS,P1,-0.741,0.403,1.144,2435.751,100,3.323
mp-1244989,ZnS,P1,-0.74,0.403,0.954,2298.268,100,3.521
mp-1245070,ZnS,P1,-0.739,0.405,1.362,2434.981,100,3.324
mp-1245121,ZnS,P1,-0.734,0.41,1.007,2400.899,100,3.371
mp-1245117,ZnS,P1,-0.731,0.412,0.342,2382.667,100,3.397
mp-1245213,ZnS,P1,-0.73,0.413,0.851,2357.51,100,3.433
mp-1245199,ZnS,P1,-0.727,0.417,1.253,2378.481,100,3.403
mp-1244922,ZnS,P1,-0.726,0.417,0.683,2393.494,100,3.381
mp-1245317,ZnS,P1,-0.725,0.419,1.171,2407.271,100,3.362
mp-1245246,ZnS,P1,-0.722,0.422,1.044,2326.8,100,3.478
mp-1245034,ZnS,P1,-0.721,0.423,1.247,2478.011,100,3.266
mp-1244986,ZnS,P1,-0.718,0.426,1.428,2484.809,100,3.257
mp-1244969,ZnS,P1,-0.716,0.428,0.113,2327.161,100,3.478
mp-1245236,ZnS,P1,-0.714,0.429,0.835,2393.059,100,3.382
mp-1245319,ZnS,P1,-0.708,0.436,1.423,2366.363,100,3.42
mp-1245280,ZnS,P1,-0.707,0.437,1.183,2342.783,100,3.454
mp-1245035,ZnS,P1,-0.707,0.437,1.279,2421.564,100,3.342
mp-1245220,ZnS,P1,-0.706,0.438,1.057,2397.83,100,3.375
mp-1244921,ZnS,P1,-0.702,0.441,1.028,2396.181,100,3.377
mp-1244936,ZnS,P1,-0.7,0.443,1.218,2358.769,100,3.431
mp-1245136,ZnS,P1,-0.7,0.444,1.044,2378.668,100,3.402
mp-1245310,ZnS,P1,-0.698,0.446,0.585,2431.096,100,3.329
mp-1245201,ZnS,P1,-0.696,0.448,0.882,2358.2,100,3.432
mp-1244890,ZnS,P1,-0.695,0.449,0.938,2502.917,100,3.233
mp-1245004,ZnS,P1,-0.693,0.45,0.807,2338.314,100,3.461
mp-1245169,ZnS,P1,-0.692,0.452,0.912,2376.05,100,3.406
mp-1245248,ZnS,P1,-0.689,0.454,0.793,2398.296,100,3.374
mp-1245197,ZnS,P1,-0.689,0.455,0.864,2425.529,100,3.337
mp-1245062,ZnS,P1,-0.686,0.458,1.203,2372.097,100,3.412
mp-1245238,ZnS,P1,-0.683,0.46,1.3,2419.848,100,3.344
mp-1245222,ZnS,P1,-0.683,0.46,0.476,2418.422,100,3.346
mp-1244974,ZnS,P1,-0.678,0.466,0.926,2278.455,100,3.552
mp-1245216,ZnS,P1,-0.676,0.467,0.864,2286.8,100,3.539
mp-1245316,ZnS,P1,-0.671,0.472,0.639,2428.825,100,3.332
mp-1245082,ZnS,P1,-0.67,0.473,0.879,2408.084,100,3.361
mp-1245296,ZnS,P1,-0.669,0.474,0.823,2361.328,100,3.427
mp-1245068,ZnS,P1,-0.669,0.474,0.857,2307.453,100,3.507
mp-1245054,ZnS,P1,-0.667,0.476,0.921,2438.886,100,3.318
mp-1244979,ZnS,P1,-0.662,0.482,0.832,2365.209,100,3.422
mp-1245050,ZnS,P1,-0.659,0.485,0.875,2322.146,100,3.485
